Trip_Distance_km,Time_of_Day,Day_of_Week,Passenger_Count,Traffic_Conditions,Weather,Base_Fare,Per_Km_Rate,Per_Minute_Rate,Trip_Duration_Minutes,Trip_Price,Column1,Trip_Price per person
49.51,Evening,Weekday,3,Medium,Snow,4.81,0.74,0.14,82.21,,25717.01952,0
7.86,Afternoon,,3,Medium,Rain,4.82,0.75,0.26,,,25717.01952,0
26.4,Afternoon,Weekday,4,Low,Clear,2.52,,0.39,108.34,,25717.01952,0
43.99,Morning,Weekday,3,Medium,Clear,4.62,1.69,0.36,23.91,,25717.01952,0
37.3,Morning,Weekday,3,Low,Snow,4.21,1.86,0.35,97.47,107.7025,25717.01952,35.90083333
35.15,Afternoon,Weekday,1,Medium,Rain,2.76,,0.21,96.08,91.8308,25717.01952,91.8308
116.1960636,Afternoon,Weekend,4,Medium,Clear,2.2,0.85,0.25,19.63,206.6995697,25717.01952,51.67489242
139.0622302,Afternoon,Weekday,2,Low,Rain,2.8,1.82,0.14,50.83,276.8405967,25717.01952,138.4202984
,Morning,Weekday,3,Low,,4.74,0.99,0.39,24.57,29.5584,25717.01952,9.8528
40.66,Afternoon,Weekday,2,Medium,Clear,3.9,0.67,0.3,34.29,41.4292,25717.01952,20.7146
40.7,Evening,Weekday,2,,Clear,4.16,1.81,0.38,35.27,91.2296,25717.01952,45.6148
43.49,Evening,Weekday,1,Low,Clear,2.77,1.45,0.2,68.97,79.6245,25717.01952,79.6245
45.75,Morning,Weekday,3,Medium,Rain,4.16,0.75,0.23,52.31,50.5038,25717.01952,16.8346
26.06,Afternoon,Weekend,4,Medium,Clear,2.08,1.14,0.23,113.99,,25717.01952,0
25.57,Morning,Weekday,3,High,Rain,3.13,0.93,0.11,19.53,,25717.01952,0
40.12,Morning,Weekend,,High,Clear,3.88,1.61,0.24,116.97,96.546,25717.01952,#DIV/0!
32.85,Night,Weekday,4,Medium,Clear,2.44,1.18,0.42,31.52,54.4414,25717.01952,13.61035
35.4,Morning,Weekday,3,,Clear,4.47,1.98,0.46,93.88,117.7468,25717.01952,39.24893333
39.99,Afternoon,Weekday,2,High,Clear,2.71,0.58,0.31,43.98,39.538,25717.01952,19.769
44.61,Afternoon,Weekday,,Low,,3.96,1.03,0.28,21.45,55.9143,25717.01952,#DIV/0!
17.56,Evening,Weekday,1,Low,Clear,3.22,1.22,0.11,103.66,36.0458,25717.01952,36.0458
,Afternoon,Weekday,1,Low,Clear,3.79,1.25,0.45,40.52,46.274,25717.01952,46.274
5.61,,Weekday,1,High,Clear,2.32,0.97,0.11,,16.6464,25717.01952,16.6464
29.34,Afternoon,Weekday,2,High,Clear,2.05,1.59,0.48,70.14,82.3678,25717.01952,41.1839
2.76,Afternoon,Weekday,3,Low,Clear,4.73,1.81,0.3,59.25,,25717.01952,0
23.81,Morning,Weekend,1,Medium,Rain,2.81,1.91,0.24,62.02,63.1719,25717.01952,63.1719
100.38042,Afternoon,Weekday,3,Medium,Rain,4.46,,,89.21,329.9130039,25717.01952,109.9710013
15.04,Morning,Weekday,1,Low,Clear,5,1.78,0.11,15.09,33.4311,25717.01952,33.4311
29.95,Morning,Weekday,4,High,Clear,2.63,1.33,0.33,81.84,69.4707,25717.01952,17.367675
2.49,Afternoon,Weekday,,Low,Clear,2.8,1.74,0.32,108.02,41.699,25717.01952,#DIV/0!
2.83,Morning,Weekday,1,Low,Snow,3.99,0.96,0.19,11.65,8.9203,25717.01952,8.9203
41.31,Afternoon,Weekday,,Medium,Clear,4.9,1.1,,21.18,56.0596,25717.01952,#DIV/0!
18.65,Afternoon,Weekday,1,Medium,Clear,4.75,0.98,0.36,87.41,54.4946,25717.01952,54.4946
7.23,Evening,Weekday,1,Low,Clear,3.51,1.2,0.39,55.29,33.7491,25717.01952,33.7491
26.59,Morning,Weekday,2,Medium,Clear,4.39,0.93,0.1,51.41,34.2597,25717.01952,17.12985
38.73,Morning,Weekday,,Medium,Clear,2.41,1.94,0.47,20.75,87.2987,25717.01952,#DIV/0!
11.58,Morning,Weekday,3,Low,Rain,4.93,0.97,0.17,63.28,26.9202,25717.01952,8.9734
31.52,,Weekday,1,Low,Clear,4.89,0.65,0.19,19.55,29.0925,25717.01952,29.0925
5.18,Evening,Weekday,2,Medium,Clear,2.49,1.29,0.21,59.81,21.7323,25717.01952,10.86615
3.53,Morning,Weekend,1,Low,Clear,2.9,0.59,0.12,92.82,16.1211,25717.01952,16.1211
27.04,Night,Weekday,2,High,Clear,2.3,0.67,0.15,,25.6218,25717.01952,12.8109
145.7470599,Morning,Weekday,3,High,Rain,2.82,0.83,0.49,60.29,325.0989498,25717.01952,108.3663166
32.23,Afternoon,Weekday,3,High,Clear,4.45,1.2,0.23,119.08,70.5144,25717.01952,23.5048
36.58,Evening,Weekend,4,,Rain,3.13,1.15,0.15,83.96,57.791,25717.01952,14.44775
48.82,Evening,Weekday,2,High,Clear,2.27,1.7,0.14,101.76,99.5104,25717.01952,49.7552
26.3,Evening,Weekday,2,Medium,Clear,3.03,1.61,0.39,52.71,65.9299,25717.01952,32.96495
16.82,Evening,Weekday,4,Low,Snow,4.94,1.14,0.44,93.3,65.1668,25717.01952,16.2917
39.96,Afternoon,Weekday,4,Low,Clear,3.89,1,0.2,9.66,45.782,25717.01952,11.4455
14.27,Evening,Weekday,2,,Rain,3.25,0.97,0.11,19.13,19.1962,25717.01952,9.5981
22.51,Morning,Weekday,4,,Clear,2.5,1.66,0.19,28.35,45.2531,25717.01952,11.313275
4.84,Evening,,3,Medium,Rain,4.96,0.58,0.12,51.22,13.9136,25717.01952,4.637866667
2.24,Afternoon,Weekday,1,Low,Clear,4.46,0.52,0.14,102.26,19.9412,25717.01952,19.9412
48.17,Evening,Weekend,3,Medium,Clear,,1.69,0.27,44.82,96.3487,25717.01952,32.11623333
41.96,Afternoon,Weekend,4,Low,Rain,2.21,1.22,0.19,80.28,68.6544,25717.01952,17.1636
35.1,Afternoon,Weekday,2,,Rain,2.17,0.7,0.31,86.57,53.5767,25717.01952,26.78835
21.04,Afternoon,Weekday,2,Low,Rain,2.36,0.85,0.2,72.41,34.726,25717.01952,17.363
9.49,Evening,,3,High,Rain,3.74,1.9,0.48,46.08,43.8894,25717.01952,14.6298
8.67,Morning,Weekday,2,High,Rain,4.79,1.79,0.46,71.36,53.1349,25717.01952,26.56745
13.26,Morning,Weekday,4,Medium,Clear,3.49,1.56,0.33,44.36,38.8144,25717.01952,9.7036
27.91,Morning,Weekend,3,Low,Clear,4.53,1.22,0.24,,42.0962,25717.01952,14.03206667
36.02,Morning,Weekend,2,Low,Clear,3.34,1.28,,119.17,79.2381,25717.01952,39.61905
33.35,Evening,Weekday,1,High,Clear,4.13,1.96,0.26,19.63,74.5998,25717.01952,74.5998
14.72,Morning,Weekday,,Low,Clear,4.2,1.95,0.39,13.32,38.0988,25717.01952,#DIV/0!
47.79,,Weekend,4,Low,Clear,2.52,0.82,0.28,106.03,71.3962,25717.01952,17.84905
37.16,Afternoon,Weekend,2,Low,,3.08,1.72,0.44,39.71,84.4676,25717.01952,42.2338
28.16,Morning,Weekend,,,Clear,3.91,0.8,0.48,79.78,64.7324,25717.01952,#DIV/0!
,Evening,Weekday,3,Medium,Clear,2.21,0.82,0.23,42.84,37.4586,25717.01952,12.4862
21.56,Afternoon,Weekday,1,High,Clear,,1.51,0.32,50.02,,25717.01952,0
13.14,,Weekday,3,Low,Clear,3.6,1.11,0.14,35.14,23.105,25717.01952,7.701666667
18.44,Afternoon,Weekday,2,Low,Rain,4.99,1.9,0.18,44.45,48.027,25717.01952,24.0135
38.13,,Weekday,4,High,Rain,3.42,0.63,0.27,52.23,41.544,25717.01952,10.386
1.71,Morning,Weekday,4,High,Clear,4.45,1.27,0.18,87.85,22.4347,25717.01952,5.608675
6.69,Night,Weekday,4,Low,Clear,3.3,1.88,0.45,,44.6007,25717.01952,11.150175
3.25,Night,Weekday,3,Medium,Clear,4.39,1.86,0.16,,28.5966,25717.01952,9.5322
3,Afternoon,Weekday,1,Low,Clear,3.79,0.73,0.28,9.82,8.7296,25717.01952,8.7296
42.92,Morning,Weekday,3,High,Clear,4.66,1.05,0.34,62.85,71.095,25717.01952,23.69833333
35.48,Afternoon,Weekday,3,Low,Clear,3.23,1.43,0.38,72.19,81.3986,25717.01952,27.13286667
116.6676807,Morning,Weekday,2,High,Clear,3.81,0.74,0.25,110.82,248.2952089,25717.01952,124.1476045
5.79,Morning,Weekday,2,Medium,Clear,3.89,1.95,0.45,10.65,19.973,25717.01952,9.9865
25.09,Morning,Weekend,2,Medium,Snow,3.25,1.87,0.33,70.95,73.5818,25717.01952,36.7909
24.2,Afternoon,Weekday,1,Low,Snow,2.43,0.75,0.28,103.17,49.4676,25717.01952,49.4676
9.49,Evening,Weekday,1,Medium,Clear,2.28,0.68,0.13,32.82,12.9998,25717.01952,12.9998
22.26,Evening,Weekday,2,Medium,Clear,,0.63,0.29,105.77,46.7471,25717.01952,23.37355
,Evening,,,Low,Clear,4.62,1.86,0.43,7.19,45.8975,25717.01952,#DIV/0!
31.18,Afternoon,Weekday,1,Medium,Clear,2.71,0.79,0.35,89.23,58.5727,25717.01952,58.5727
32.12,Afternoon,Weekday,4,High,Rain,2.63,1.12,0.43,112.31,86.8977,25717.01952,21.724425
3.22,Afternoon,Weekday,1,Medium,Clear,4.21,1.17,0.3,80.58,32.1514,25717.01952,32.1514
19.36,Night,Weekday,1,Medium,Rain,2.96,1.4,0.15,55.49,38.3875,25717.01952,38.3875
31.67,Morning,Weekday,1,Low,Clear,3.52,,0.11,10.16,23.9563,25717.01952,23.9563
25.65,Evening,Weekday,2,Medium,Snow,2.49,0.84,0.22,110.81,48.4142,25717.01952,24.2071
42.97,Afternoon,Weekend,4,Low,Clear,4.88,1.9,0.38,59.08,108.9734,25717.01952,27.24335
33.28,,Weekday,1,Medium,Rain,4.55,1.86,0.42,8.33,69.9494,25717.01952,69.9494
8.98,Evening,,2,High,Clear,4.59,1.67,0.22,84.33,38.1392,25717.01952,19.0696
4.46,Afternoon,Weekend,3,Medium,Clear,3.22,0.53,0.3,60.41,23.7068,25717.01952,7.902266667
32.48,Evening,Weekday,3,Low,Clear,4.29,0.99,0.27,19.3,41.6562,25717.01952,13.8854
2.3,Night,Weekend,,Low,Clear,2.43,1.44,0.26,29.64,13.4484,25717.01952,#DIV/0!
,Afternoon,Weekday,3,Medium,Rain,2.03,0.91,0.19,12.42,31.4168,25717.01952,10.47226667
47.07,Morning,Weekday,4,Medium,Rain,2.06,1.86,0.15,71.04,100.2662,25717.01952,25.06655
29.2,Afternoon,Weekday,3,High,Rain,3.76,1.45,0.18,76.53,59.8754,25717.01952,19.95846667
20.02,Night,Weekday,3,High,Clear,3.37,0.61,0.12,63.16,23.1614,25717.01952,7.720466667
32.52,Morning,Weekday,4,Medium,Rain,3.55,1.86,0.18,98.97,81.8518,25717.01952,20.46295
23.45,Afternoon,Weekday,1,,Clear,2.02,1.94,0.1,104.02,57.915,25717.01952,57.915
27.74,Afternoon,Weekday,1,Low,Clear,,0.62,0.35,75.8,46.9988,25717.01952,46.9988
47.13,Evening,Weekday,4,Low,Clear,4.15,1.3,0.23,6.47,66.9071,25717.01952,16.726775
19.92,Morning,Weekday,4,Low,Clear,3.33,0.96,0.49,84.95,64.0787,25717.01952,16.019675
,Evening,Weekday,4,Medium,Clear,4.2,1.09,0.18,,66.1816,25717.01952,16.5454
45.36,Night,Weekday,3,Medium,Clear,2.7,0.77,0.24,70.04,54.4368,25717.01952,18.1456
10.59,Morning,Weekday,4,Medium,Clear,4.44,,0.24,79.64,38.0619,25717.01952,9.515475
4.4,Morning,Weekend,2,Low,Rain,3.77,1.94,0.1,45.28,16.834,25717.01952,8.417
5.94,Night,Weekday,3,Low,Clear,2.63,1.25,0.44,110.47,58.6618,25717.01952,19.55393333
1.89,Morning,Weekend,1,Low,Clear,2.71,0.62,0.11,20.41,6.1269,25717.01952,6.1269
5.63,Evening,Weekday,1,Low,Clear,3.88,1.43,,82.22,51.3965,25717.01952,51.3965
34.47,Afternoon,Weekday,1,High,Clear,4.49,1.01,0.46,5.5,41.8347,25717.01952,41.8347
4.49,Morning,Weekday,3,Low,Clear,3.25,1.78,0.31,111.33,45.7545,25717.01952,15.2515
16.63,Evening,,2,Medium,Clear,2.77,1.15,0.32,17.94,27.6353,25717.01952,13.81765
42.4,Afternoon,,4,Low,,4.6,0.79,0.36,15.91,43.8236,25717.01952,10.9559
2.14,Afternoon,Weekend,4,High,Clear,4.01,0.79,0.25,43.3,16.5256,25717.01952,4.1314
40.91,Afternoon,,1,Medium,Clear,3.34,1.65,0.36,47.96,88.1071,25717.01952,88.1071
14.81,Afternoon,Weekend,1,Low,Rain,3.46,0.9,0.12,29.64,20.3458,25717.01952,20.3458
6.79,Morning,Weekend,3,Medium,Clear,2.61,1.65,0.12,72.29,22.4883,25717.01952,7.4961
35.14,Afternoon,Weekend,2,Medium,Clear,3.88,0.81,0.28,55.94,48.0066,25717.01952,24.0033
31.82,,Weekend,4,High,Rain,3.08,0.98,0.32,8.93,37.1212,25717.01952,9.2803
44,Morning,Weekday,3,Low,Clear,4.99,1.2,0.46,41.76,76.9996,25717.01952,25.66653333
37.02,Afternoon,Weekday,4,High,,3.44,1.91,0.14,,87.8962,25717.01952,21.97405
40.37,Afternoon,Weekday,1,High,Rain,3.46,1.9,0.43,84.32,116.4206,25717.01952,116.4206
14.82,Evening,Weekday,4,High,Clear,3.7,0.81,0.18,88.36,31.609,25717.01952,7.90225
9.69,Morning,Weekday,2,Medium,Clear,4.75,1.04,0.26,85.28,37.0004,25717.01952,18.5002
37.78,Night,Weekend,2,Medium,Clear,4.4,0.72,0.23,40.76,40.9764,25717.01952,20.4882
40.53,Afternoon,Weekday,1,Medium,Clear,3.35,1.26,0.26,16.46,58.6974,25717.01952,58.6974
49.53,Morning,Weekday,2,Medium,Clear,4.16,1.19,0.16,36.33,68.9135,25717.01952,34.45675
21.22,Morning,Weekday,2,Medium,Clear,3.76,1.85,0.3,100.66,73.215,25717.01952,36.6075
19.23,Morning,Weekday,3,Medium,Clear,3.48,1.9,0.42,117.75,89.472,25717.01952,29.824
39.04,Afternoon,Weekday,4,Medium,Clear,,1.08,0.28,61.79,62.0444,25717.01952,15.5111
17.7,Afternoon,Weekend,1,Medium,Clear,3.39,1.24,0.3,6.12,27.174,25717.01952,27.174
46.61,Evening,Weekday,1,High,Clear,2.74,1.84,0.44,21.11,97.7908,25717.01952,97.7908
43.06,Afternoon,,1,Low,Clear,4.74,1.71,0.38,42.04,94.3478,25717.01952,94.3478
22.02,Morning,Weekday,1,High,Clear,,0.51,0.3,71.54,,25717.01952,0
37.79,Afternoon,,1,Medium,Clear,4.86,0.98,0.2,13.64,44.6222,25717.01952,44.6222
37.97,Evening,Weekday,2,High,Rain,3.6,1.13,0.45,113.49,97.5766,25717.01952,48.7883
6.05,Morning,Weekday,3,Medium,Clear,3.89,0.84,0.33,46.98,24.4754,25717.01952,8.158466667
,Morning,,1,Low,Clear,3.63,0.8,0.19,109.95,60.7045,25717.01952,60.7045
25.76,Morning,Weekday,3,High,Clear,2.39,0.56,0.21,94.76,36.7152,25717.01952,12.2384
41.5,Evening,Weekday,3,Low,Clear,3.13,1.47,0.42,91.88,102.7246,25717.01952,34.24153333
,Afternoon,Weekday,2,High,Rain,2.3,0.89,0.12,74.77,26.1176,25717.01952,13.0588
44.88,Afternoon,Weekday,1,Medium,Clear,3.87,0.58,0.5,77.08,68.4404,25717.01952,68.4404
20.07,Evening,Weekday,2,Medium,Snow,3.34,0.85,0.15,78.37,32.155,25717.01952,16.0775
1.53,Evening,Weekday,1,Low,Clear,4.33,1.7,0.42,77.3,,25717.01952,0
45.36,Afternoon,Weekend,,Medium,Rain,2.66,1.78,0.26,68.68,101.2576,25717.01952,#DIV/0!
5.47,,Weekday,3,Low,Clear,2.49,1.22,,118.44,44.6954,25717.01952,14.89846667
104.3717909,,Weekday,1,Low,Rain,3.22,1.12,0.45,89.21,206.508652,25717.01952,206.508652
47.55,Morning,Weekday,4,Low,Clear,4.78,1.97,0.27,94.35,123.928,25717.01952,30.982
47.58,Morning,Weekday,3,Low,Clear,4.13,0.8,0.31,105.33,74.8463,25717.01952,24.94876667
29.1,Morning,Weekday,4,High,Clear,3.26,0.82,0.12,29.8,30.698,25717.01952,7.6745
31.96,Afternoon,Weekday,3,High,Clear,3.55,0.94,,14.64,35.0564,25717.01952,11.68546667
22.97,Night,Weekend,2,Low,Rain,2.25,0.76,0.2,60.53,31.8132,25717.01952,15.9066
15.37,Morning,Weekday,1,,Clear,4.95,1.07,0.37,64.12,45.1203,25717.01952,45.1203
,Morning,Weekday,3,Low,Clear,4,1.87,0.15,100.36,51.031,25717.01952,17.01033333
33.95,Afternoon,Weekday,2,Medium,Rain,2.86,1.42,0.15,,59.475,25717.01952,29.7375
37.87,Night,Weekday,1,High,Clear,3.76,,0.26,70.65,64.5434,25717.01952,64.5434
39.79,Afternoon,Weekday,1,High,Snow,2.33,1.9,0.36,,101.5506,25717.01952,101.5506
39.69,Afternoon,Weekday,3,Medium,Rain,4.9,0.57,0.38,,31.0915,25717.01952,10.36383333
5.47,Morning,Weekend,1,Medium,Clear,2.52,0.82,0.17,75.75,19.8829,25717.01952,19.8829
25.23,Morning,Weekday,3,Low,Rain,3.94,1.35,0.13,100.22,51.0291,25717.01952,17.0097
,Night,Weekday,1,High,Clear,,1.42,0.48,23.11,19.2572,25717.01952,19.2572
27.93,Night,Weekend,4,Low,Clear,4.15,0.56,0.2,73.35,34.4608,25717.01952,8.6152
22.63,Morning,Weekday,2,Medium,Clear,4.33,,0.44,73.27,,25717.01952,0
44.5,Night,Weekend,4,Medium,Clear,4.02,1.47,0.45,23.88,80.181,25717.01952,20.04525
,Afternoon,Weekday,,Medium,Rain,3.84,1.55,0.41,19.2,39.9065,25717.01952,#DIV/0!
6.74,Evening,Weekend,4,Low,Rain,4.68,1.46,0.17,117.71,34.5311,25717.01952,8.632775
8.01,Afternoon,Weekday,3,High,Clear,,0.98,0.43,50.28,31.7102,25717.01952,10.57006667
38.31,Afternoon,Weekend,1,Low,Clear,2.99,0.64,0.41,31.15,40.2799,25717.01952,40.2799
31.29,Afternoon,Weekend,1,Medium,Snow,2.74,1.14,0.34,24.7,46.8086,25717.01952,46.8086
5.96,Afternoon,Weekday,,Low,Clear,4.96,0.69,0.23,81.77,27.8795,25717.01952,#DIV/0!
5.12,Morning,Weekend,4,Low,Clear,3.17,1.92,0.21,75.09,28.7693,25717.01952,7.192325
35.35,Morning,Weekday,1,Medium,Clear,4.2,1.21,0.15,79.01,58.825,25717.01952,58.825
4.57,,Weekday,2,Medium,Rain,4.05,0.98,0.3,15.12,13.0646,25717.01952,6.5323
41.27,Evening,Weekday,1,Low,Clear,2.64,1.65,0.33,107.76,106.2963,25717.01952,106.2963
,Morning,Weekday,2,Low,Rain,2.72,1.25,0.24,49.77,59.1773,25717.01952,29.58865
,Afternoon,Weekday,4,Medium,,2.84,0.97,0.29,41.04,19.5819,25717.01952,4.895475
5.16,Night,Weekday,2,Medium,Clear,3.23,1.72,0.25,58.17,26.6477,25717.01952,13.32385
49.35,Morning,Weekday,2,,Clear,2.7,1.8,0.36,49.86,109.4796,25717.01952,54.7398
19.34,Afternoon,Weekend,2,Low,,2.06,1.51,0.46,104.31,79.246,25717.01952,39.623
19.16,Afternoon,Weekend,2,Low,Clear,4.64,0.57,,111.87,34.5791,25717.01952,17.28955
40.83,Evening,Weekday,1,Low,Rain,4.9,1.35,,39.9,69.9955,25717.01952,69.9955
47.42,Morning,Weekday,2,Low,Rain,3.02,1.64,0.16,104.35,97.4848,25717.01952,48.7424
,Afternoon,Weekday,1,Medium,Clear,3.02,0.7,0.35,94.88,70.745,25717.01952,70.745
37.92,Evening,Weekday,2,Medium,Rain,2.02,0.84,0.39,112.04,77.5684,25717.01952,38.7842
19.44,Night,Weekday,,Low,,4.04,1.82,0.47,33.26,55.053,25717.01952,#DIV/0!
5.09,Afternoon,Weekday,4,Low,,4.48,0.53,0.21,71.35,,25717.01952,0
39.08,Afternoon,Weekday,,Low,Clear,2.44,1.63,,36.57,83.694,25717.01952,#DIV/0!
28.36,,Weekend,3,High,Clear,2.48,1.21,0.13,99.77,49.7657,25717.01952,16.58856667
21.79,Evening,Weekday,2,High,Clear,4.37,1.17,0.34,5.61,31.7717,25717.01952,15.88585
45.41,Afternoon,Weekday,2,Low,Clear,3.85,0.51,0.12,69.95,35.4031,25717.01952,17.70155
6.45,Morning,Weekday,2,Low,Clear,2.13,1.73,0.46,44.01,33.5331,25717.01952,16.76655
25.14,Night,Weekday,3,High,Rain,3.87,1.04,0.31,42.11,43.0697,25717.01952,14.35656667
1.56,Afternoon,Weekday,4,High,Clear,2.93,1.31,0.37,79.16,34.2628,25717.01952,8.5657
23.96,Afternoon,Weekday,3,,Clear,3.11,1.52,0.43,102.92,83.7848,25717.01952,27.92826667
3.76,Morning,Weekday,4,,Clear,4.31,1.55,0.16,75.06,22.1476,25717.01952,5.5369
6.82,Afternoon,Weekday,2,Low,,4.43,1.93,0.12,103.11,29.9658,25717.01952,14.9829
6.76,Afternoon,Weekend,,Medium,Clear,3.2,1.3,0.45,35.43,27.9315,25717.01952,#DIV/0!
32.81,Afternoon,Weekend,,Low,Clear,4.84,,0.23,64.74,55.8212,25717.01952,#DIV/0!
37.56,Morning,Weekday,4,Low,,3.22,1.93,0.15,56.81,84.2323,25717.01952,21.058075
29.59,Afternoon,Weekday,3,Medium,Rain,4.32,1.46,0.29,6.34,49.36,25717.01952,16.45333333
48.15,Night,Weekday,2,Low,Clear,3.45,0.95,0.34,69.03,72.6627,25717.01952,36.33135
19.37,Morning,Weekday,3,Medium,Clear,4.69,0.69,0.11,81.08,26.9741,25717.01952,8.991366667
15,Night,Weekday,3,Low,Snow,4.72,1.76,0.21,73.07,46.4647,25717.01952,15.48823333
43.56,Afternoon,Weekday,3,Low,Rain,2.26,1.04,0.11,89.67,57.4261,25717.01952,19.14203333
11.96,Evening,Weekday,2,Medium,Snow,4.81,1.49,0.27,70.7,41.7194,25717.01952,20.8597
48.2,,Weekday,3,Low,Clear,4.48,1.21,0.46,12.68,68.6348,25717.01952,22.87826667
,Afternoon,Weekday,3,High,Clear,4.37,0.8,0.49,18.39,14.6611,25717.01952,4.887033333
48.52,Evening,Weekend,2,Medium,,2.6,1.4,0.35,73.59,96.2845,25717.01952,48.14225
3.11,Evening,Weekend,3,Low,Clear,4.42,0.59,0.16,36.62,12.1141,25717.01952,4.038033333
44.67,Afternoon,Weekend,2,Medium,Rain,4.55,1.12,0.46,14.16,61.094,25717.01952,30.547
26.86,Afternoon,Weekday,4,Low,Clear,2.87,1.32,0.31,54.4,55.1892,25717.01952,13.7973
49.66,Afternoon,Weekend,4,High,Clear,4.86,1.15,0.16,68.75,72.969,25717.01952,18.24225
,Evening,Weekday,,Low,Clear,2.15,1.62,0.47,42.81,29.7551,25717.01952,#DIV/0!
28.14,Evening,Weekend,3,Medium,Clear,2.45,,0.4,87.85,86.5536,25717.01952,28.8512
48.5,Evening,Weekday,1,Low,Clear,3.61,1.66,0.39,79.03,114.9417,25717.01952,114.9417
26.63,Afternoon,Weekend,1,Medium,Clear,3.73,0.56,0.38,43.27,35.0854,25717.01952,35.0854
31.84,Evening,Weekday,3,High,Snow,3.94,0.79,0.18,91.81,45.6194,25717.01952,15.20646667
107.786832,Morning,Weekend,1,High,Clear,2.05,1.3,0.18,79.6,322.7259961,25717.01952,322.7259961
23.27,Afternoon,Weekend,2,Low,Clear,4.88,1.9,0.38,78.31,78.8508,25717.01952,39.4254
31.75,Morning,Weekday,1,,Rain,2.13,1.75,0.19,68.64,70.7341,25717.01952,70.7341
29.63,Afternoon,Weekday,3,High,Clear,2.43,1.76,0.28,6.31,56.3456,25717.01952,18.78186667
45.16,Afternoon,Weekend,3,High,Clear,2.04,,0.41,85.1,79.833,25717.01952,26.611
3.23,Afternoon,Weekday,2,Low,Rain,3.7,1.14,0.41,48.24,27.1606,25717.01952,13.5803
14.77,Afternoon,Weekend,4,Medium,Clear,4.8,1.21,0.28,113.4,54.4237,25717.01952,13.605925
47.57,Afternoon,Weekday,,Low,Rain,4,0.74,0.42,99.07,80.8112,25717.01952,#DIV/0!
44.62,,Weekday,2,High,Rain,4.47,0.55,0.44,72.58,60.9462,25717.01952,30.4731
23.33,Morning,Weekday,1,Low,Snow,2.04,1.92,,34,59.0736,25717.01952,59.0736
31.39,Afternoon,Weekday,1,Low,Clear,3.63,0.86,0.19,28.43,36.0271,25717.01952,36.0271
14.59,Morning,Weekend,2,Medium,Clear,,0.86,0.21,44.14,25.1968,25717.01952,12.5984
10.22,Morning,Weekday,2,,Clear,3.5,0.63,0.23,59.81,23.6949,25717.01952,11.84745
23.72,Afternoon,Weekday,3,Medium,Clear,2.22,1.89,0.15,39.05,52.9083,25717.01952,17.6361
18.31,Afternoon,Weekday,1,Medium,Rain,4.05,1.37,0.21,64.22,42.6209,25717.01952,42.6209
29.6,Afternoon,Weekday,2,Low,Clear,3.51,1.5,0.18,24.02,52.2336,25717.01952,26.1168
4.81,Afternoon,Weekend,1,Low,Clear,4.3,1.87,0.28,117.44,46.1779,25717.01952,46.1779
48.75,Afternoon,Weekend,2,Medium,Rain,3.46,1.02,0.46,17.41,61.1936,25717.01952,30.5968
49.32,Evening,Weekday,1,Low,Clear,2.45,1.43,0.14,112.17,88.6814,25717.01952,88.6814
35.21,Afternoon,Weekend,4,Medium,Clear,3.94,0.56,0.39,110.06,66.581,25717.01952,16.64525
27.27,Afternoon,Weekend,3,High,Clear,2.52,0.78,0.37,65.42,47.996,25717.01952,15.99866667
16.17,,Weekday,1,Medium,Rain,4.62,1.75,0.14,,45.2879,25717.01952,45.2879
40.88,Afternoon,Weekend,4,Low,Clear,,1.65,0.47,55.15,97.2125,25717.01952,24.303125
34.55,Afternoon,Weekday,1,Low,Rain,2.47,1.03,,,63.615,25717.01952,63.615
8.97,Afternoon,Weekday,1,Low,Clear,4.89,1.07,0.25,44.17,25.5304,25717.01952,25.5304
45.64,Afternoon,Weekend,4,,Rain,3.56,1.3,0.4,39.63,78.744,25717.01952,19.686
41.3,Afternoon,Weekday,1,Medium,Rain,2.22,,0.2,71.5,37.17,25717.01952,37.17
47.54,Afternoon,Weekend,1,Medium,Clear,3.88,0.86,0.38,,68.4308,25717.01952,68.4308
36.56,Evening,Weekend,3,Low,Clear,2.76,0.81,0.12,,40.9716,25717.01952,13.6572
31.06,Evening,Weekday,4,Low,Clear,4.41,0.88,0.44,37.97,48.4496,25717.01952,12.1124
21.49,Evening,Weekend,4,Low,Rain,4.45,1.71,0.28,47.2,54.4139,25717.01952,13.603475
46.7,Night,Weekday,2,Medium,Clear,4.94,,0.35,14.65,53.0315,25717.01952,26.51575
43.44,Morning,Weekday,1,Low,Clear,3.51,0.79,0.19,11.01,39.9195,25717.01952,39.9195
3.22,Morning,Weekday,3,,Clear,3.36,,0.37,34.15,20.0527,25717.01952,6.684233333
2.29,Morning,Weekend,1,Low,Clear,4.26,1.8,0.41,13.54,13.9334,25717.01952,13.9334
19.45,Afternoon,Weekday,1,High,Clear,2.4,0.86,0.29,16.93,24.0367,25717.01952,24.0367
40.72,Evening,Weekday,2,High,Clear,3.64,0.62,0.35,98.49,63.3579,25717.01952,31.67895
49.38,Morning,Weekday,1,Low,Clear,3.64,1.03,0.28,9.47,57.153,25717.01952,57.153
8.37,Night,Weekend,3,Low,Rain,2.27,1.62,,80.78,52.9882,25717.01952,17.66273333
30.11,Morning,Weekday,3,Medium,Clear,3.25,1.33,0.3,36.34,54.1983,25717.01952,18.0661
